"x","y_obs_TiannaGreenMAPbBr50I50.tif_Azm=_0.00"
22.442,31.571
22.46,31.62
22.478,31.67
22.496,31.554
22.514,31.457
22.532,31.464
22.55,31.334
22.568,31.35
22.586,31.323
22.604,31.352
22.622,31.352
22.64,31.322
22.658,31.134
22.676,31.279
22.694,31.418
22.712,31.218
22.73,31.372
22.748,31.34
22.766,31.356
22.784,31.352
22.802,31.3
22.82,31.738
22.838,32.07
22.856,32.628
22.874,33.748
22.892,35.115
22.91,36.479
22.928,37.137
22.946,36.56
22.964,35.587
22.982,33.958
23.0,33.028
23.018,32.183
23.036,31.75
23.054,31.574
23.072,31.197
23.09,31.151
23.108,30.983
23.126,30.952
23.144,30.778
23.162,30.842
23.18,30.754
23.198,30.563
23.216,30.616
23.234,30.547
23.252,30.655
23.27,30.695
23.288,30.415
23.306,30.529
23.324,30.527
23.342,30.47
23.36,30.516
23.378,30.661
23.396,30.503
23.414,30.465
23.432,30.328
23.45,30.349
23.468,30.317
23.486,30.385
23.504,30.414
23.522,30.398
23.54,30.356
23.558,30.183
23.576,30.209
23.594,30.177
23.612,30.357
23.63,30.231
23.648,30.179
23.666,30.233
23.684,30.213
23.702,30.251
23.72,30.036
23.738,30.203
23.756,30.092
23.774,30.184
23.792,30.198
23.81,30.217
23.828,30.218
23.846,30.203
23.864,30.092
23.882,29.96
23.9,30.277
23.918,30.173
23.936,30.165
23.954,30.157
23.972,30.063
23.99,30.209
24.008,30.193
24.026,30.006
24.044,30.081
24.062,30.062
24.08,30.034
24.098,30.008
24.116,30.148
24.134,30.004
24.152,29.974
24.17,29.968
24.188,30.04
24.206,29.961
24.224,29.996
24.242,29.947
24.26,29.78
24.278,29.974
24.296,29.998
24.314,30.129
24.332,30.009
24.35,29.975
24.368,30.035
24.386,29.958
24.404,30.046
24.422,30.084
24.44,30.023
24.458,30.063
24.476,30.259
24.494,30.218
24.512,29.978
24.53,30.116
24.548,30.311
24.566,30.067
24.584,30.16
24.602,30.113
24.62,30.21
24.638,30.123
24.656,30.127
24.674,30.054
24.692,30.038
24.71,30.062
24.728,30.268
24.746,29.989
24.764,30.081
24.782,29.971
24.8,29.907
24.818,30.168
24.836,30.277
24.854,30.023
